codigo_mun,censo,blancos,nulos,candidaturas,part,partido,votos,votos_pc
01001,2005,4,19,1415,71.7206982543641,Bildu,214,15.081042988019732
01001,2005,4,19,1415,71.7206982543641,Cs,56,3.9464411557434813
01001,2005,4,19,1415,71.7206982543641,OTROS,30,2.1141649048625792
01001,2005,4,19,1415,71.7206982543641,PNV,394,27.76603241719521
01001,2005,4,19,1415,71.7206982543641,PP,100,7.047216349541931
01001,2005,4,19,1415,71.7206982543641,PSOE,304,21.42353770260747
01001,2005,4,19,1415,71.7206982543641,UP,276,19.45031712473573
01001,2005,4,19,1415,71.7206982543641,VOX,41,2.8893587033121917
01002,8035,17,68,6142,77.49844430616055,Bildu,1314,21.334632245494397
01002,8035,17,68,6142,77.49844430616055,Cs,103,1.6723494073713265
01002,8035,17,68,6142,77.49844430616055,OTROS,90,1.4612761811982464
01002,8035,17,68,6142,77.49844430616055,PNV,2148,34.87579152459815
01002,8035,17,68,6142,77.49844430616055,PP,310,5.033284624127293
01002,8035,17,68,6142,77.49844430616055,PSOE,1036,16.820912485793148
01002,8035,17,68,6142,77.49844430616055,UP,989,16.057801591167397
01002,8035,17,68,6142,77.49844430616055,VOX,152,2.4679331060237053
01003,1179,6,5,897,77.01441899915183,Bildu,459,50.83056478405316
01003,1179,6,5,897,77.01441899915183,Cs,0,0
01003,1179,6,5,897,77.01441899915183,OTROS,4,0.4429678848283499
01003,1179,6,5,897,77.01441899915183,PNV,285,31.561461794019934
01003,1179,6,5,897,77.01441899915183,PP,4,0.4429678848283499
01003,1179,6,5,897,77.01441899915183,PSOE,37,4.097452934662237
01003,1179,6,5,897,77.01441899915183,UP,102,11.295681063122924
01003,1179,6,5,897,77.01441899915183,VOX,6,0.6644518272425249
01004,1356,3,9,995,74.26253687315634,Bildu,200,20.04008016032064
01004,1356,3,9,995,74.26253687315634,Cs,19,1.9038076152304608
01004,1356,3,9,995,74.26253687315634,OTROS,8,0.8016032064128257
01004,1356,3,9,995,74.26253687315634,PNV,359,35.97194388777555
01004,1356,3,9,995,74.26253687315634,PP,85,8.517034068136272
