cmun,pob_total,pob_ext
01051,5018,0.10721402949382224
01001,2887,0.0914444059577416
01002,10286,0.06173439626677037
01049,151,0.046357615894039736
01003,1483,0.016183412002697236
01006,219,0.0410958904109589
01037,717,0.040446304044630406
01008,982,0.028513238289205704
01004,1831,0.05406881485527035
01009,1643,0.06816798539257456
01010,2967,0.013481631277384564
01011,286,0.15034965034965034
01013,883,0.03737259343148358
01014,443,0.029345372460496615
01016,511,0.050880626223091974
01017,1040,0.0625
01021,603,0.03482587064676617
01022,1025,0.08097560975609756
01023,348,0.11206896551724138
01046,780,0.029487179487179487
01056,229,0.008733624454148471
01901,3333,0.0672067206720672
01027,517,0.030947775628626693
01019,181,0.027624309392265192
01020,381,0.04461942257217848
01028,1445,0.10311418685121107
01030,158,0.006329113924050633
01031,1505,0.09634551495016612
01032,667,0.1454272863568216
01902,872,0.045871559633027525
01033,857,0.09334889148191365
01036,18205,0.0482834386157649
01058,1869,0.08239700374531835
01034,196,0.09693877551020408
01039,229,0.06550218340611354
01041,209,0.1674641148325359
01042,1162,0.04475043029259897
01043,3368,0.10926365795724466
01044,257,0.0311284046692607
01047,1374,0.10407569141193596
01052,319,0.06269592476489028
01053,709,0.02679830747531735
01054,1336,0.07410179640718563
01055,991,0.06458123107971746
01057,299,0.11036789297658862
01059,249176,0.09336372684367676
01060,269,0.13382899628252787
01061,186,0.010752688172043012
01062,400,0.09
01018,1753,0.022247575584711923
01063,2313,0.03415477734543882
02001,757,0.06340819022457067
02002,529,0.09640831758034027
02003,173050,0.04827506501011269
02004,693,0.03318903318903319
02005,650,0.07384615384615385
02006,655,0.007633587786259542
02007,1199,0.05921601334445371
02008,1405,0.027758007117437724
02009,24537,0.04275176264417003
02010,2275,0.0654945054945055
02011,638,0.023510971786833857
02012,2360,0.05974576271186441
02014,409,0.02689486552567237
02013,150,0.14666666666666667
02015,1864,0.07349785407725322
02016,610,0.006557377049180328
02017,873,0.01718213058419244
02018,1057,0.14758751182592242
02019,2837,0.03031371166725414
02020,508,0.06692913385826772
02021,1275,0.10823529411764705
02022,344,0.020348837209302327
02023,588,0.05102040816326531
